,Unnamed: 0,user_id,user_name,user_location,user_description,user_friends_count,user_is_verified,user_followers_count,user_tweets_count,user_favorites_count,user_created_at,tweet_text,tweet_urls,tweet_mentions,tweet_hashtags,tweet_replies,tweet_favorites,toxico,homofobico,obsceno,racismo,insulto,misogino,xenofobia
181976,558061,2478820681.0,mickansei,me expulsaram do céu,@vascodagama / @ddlovato / @JessieJ,6505.0,False,6386,77704,57479,2014,@cynaramenezes @zehdeabreu fonte: paranóia,[],"['cynaramenezes', 'zehdeabreu']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210516,652361,3398726879.0,maluperr,,procuradora da Fazenda Nacional aposentada. Advogada.  Apaixonada por política,178.0,False,16,915,1327,2015,@blogdonoblat eu sabia que iam achar uma solução para proteger os 27% de exportação de alimentos para o irã sem causar para o presidente,[],['BlogdoNoblat'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208694,645766,1.06140391465284e+18,eueri7,"Pernambuco, Brasil","Palmeirense 🐽💚
Patriota 🇧🇷
Direita 👉👉
Não perca seu tempo me ofendendo, você está só alimentando um monstro.",715.0,False,735,1854,10061,2018,"@claudioedantas virou moda ter problemas mentais, se ele gritou ""lula livre"" pode até se. kkkk",[],['claudioedantas'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247967,783523,78379452.0,luhfritzen,"Porto Alegre, Brasil",Mulher de pautas,1347.0,False,1221,84275,65833,2009,@barbaragancia uma comédia maravilhosa,[],['barbaragancia'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229177,717950,99508153.0,cinthya_ramos,"Santos, Brasil",,159.0,False,1286,13338,142066,2009,@euclarice a minha única dúvida é: quem é clarice falcão?,[],['euclarice'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251778,798611,1944436429.0,princesadorafaa,blumenau,fan clube de blumenau  dedicado ao anjo mais lindo luan rafael criado dia 7/10/2013 (2/12/16),2800.0,False,4065,181688,34481,2013,@felipeneto esse pablo vittar de novo,[],['felipeneto'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178032,545738,3292029112.0,zepregoeiro,,Casado com Gracy Vivianne,426.0,False,292,3294,7371,2015,"@danilogentili se bolsonaro acabar com a dengue, no outro dia, tem manifestação em prol do mosquito.

aedes aegypti vive",[],['DaniloGentili'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157634,473485,262338689.0,hugobzrj,Brasil,,1397.0,False,342,6865,12668,2011,@anterogreco o seu. 🤔,[],['anterogreco'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37579,127178,313660223.0,daddea55,sao jose dos campos,"Palmeirense, adoro futebol e debate com outras torcidas, sem Mímimi...",480.0,False,39,1552,2136,2011,@miltonneves rabo grande  do neycai... se ganha o real nem na foto ele seria lembrado.,[],['Miltonneves'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244200,769028,258618457.0,Carvalhovisky,"São José do Rio Preto, Brasil","""Tirou a roupa entrou no mar pensei meu Deus no mar sem roupa” #BateriaPsicoteria",274.0,False,324,12803,8703,2011,@euclarice eu começaria a comer alface talvez,[],['euclarice'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143823,430863,1.1340695669367027e+18,mano2rr,,🥀🥀,157.0,False,79,51,99,2019,@felipeneto e você esqueceu da falta do botafogo em cima do berrío que deixou o cara lesionado 8meses né,[],['felipeneto'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80583,260745,2850586320.0,heinrichsenna,"Santarém, Brasil","#Macho, gosto de ficar nu, gozar ✊🍆💦🍼, me amarro em bunda de @macho @tatuado",174.0,False,948,3116,7556,2014,@danilogentili @oscarfilho bem vindos ao clube 🤫 e a #brotheragem só aumentando💥,[],"['DaniloGentili', 'OscarFilho']",['brotheragem'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134077,406809,258109932.0,calencar10,,"Felíz,  Justo, sem mi mi mi!!!",560.0,False,121,5133,651,2011,"@felipeneto segue o jogo, sem falatório  kkk",[],['felipeneto'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240417,754953,3160865775.0,isacleudes_isa,"São Paulo, Brasil",,802.0,False,976,26671,64642,2015,"@monicabergamo agora ele quer destruir as provas!!! 
ministros por muito menos caíram.
#foramoro",[],['monicabergamo'],['ForaMoro'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117429,362778,1.1436957422526054e+18,AJ53996428,,Pátria Amada Brasil,353.0,False,36,16109,2026,2019,"@Miltonneves Porquê ABI,e todos os Esquerdopatas Comunistas PTista,STF,Jornalistas Corruptos,OAB,estão Apoiando o Gleen Grenwald?O Engraçado e q Essa Turma,não se Unem em Prol d um País,sem Roubalheira,Corrupção Propinas,sem Conluio e um Parlamento Ficha Limpa q queira o Melhor para o País.",[],['Miltonneves'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61792,207268,8.366953183265546e+17,adaowjunior,"Água Branca, Contagem",Avante 🇧🇷,1108.0,False,470,10587,30469,2017,@brumelianebrum foi o frouxo .. todo mundo sabe!,[],['brumelianebrum'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,7551,319079464.0,WaldemarFelinto,,Sou embaixador do Brasil no México pois moro no México e já preparei tacos.,196.0,False,44,140,27,2011,@anterogreco é o ararahacker.,[],['anterogreco'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100724,320006,65420977.0,gpelegrini,São Paulo,Pesquisador interessado em saber um pouco mais como funciona a cabeça das pessoas e o impacto disso no mundo onde vivemos,946.0,False,783,630,457,2009,@mariosabinof 976 pessoas que não foram capazes de ativar uma simples confirmação em 2 passos,[],['mariosabinof'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4298,14032,1.0858770083520676e+18,JosCarl59032834,,MAIS UM FÃ DE BRAWL STARS,8.0,False,0,5,5,2019,@nilmoretto @cedricgraebin beijo😘,[],"['nilmoretto', 'cedricgraebin']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243013,764516,1.1506094897013514e+18,JoseGramacho,,,19.0,False,1,1,40,2019,@gduvivier @jairbolsonaro mas ele não respondeu a humorista nenhum. ele respondeu ao desafio do gregório duvivier.,[],"['gduvivier', 'jairbolsonaro']",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
