,comentario,toxico,homofobico,obsceno,insulto,racismo,misogino,xenofobia
24983,"Porra, vtnc! Comparando Jean willis com Olavo de Carvalho!? Tá maluco?
 Que bosta de abertura porra!!!!!",1.0,0.0,1.0,0.0,0.0,0.0,0.0
56651,*qm tem snapchat e gayzao porreta viadao*,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13365,"Vc nao sabe quem esta filmando?
Filmando bandidos cuidado.
Veadagem louca em Porto Alegre
Jornalistinha novinha coitadinha
Quebrou a carinha irresponsavel
Parece um bando de lixo
Velho chinelao veado.
MACHORRAS descontroladas",1.0,1.0,1.0,1.0,0.0,0.0,0.0
22883,"Como admirador teu vou falar: Vem cá, cê tá igual ao Carlos Bolsonaro. Sabe quem é que está comemorando tua fala  e publicando isso aqui (Sobre Eduardo ser embaixador dos EUA)?   A Folha de S. Paulo, o Brasil 247, o Diário Cu do Mundo. Puta merda, pára de falar besteira cassete!!!  Nós (os Bolsonaro) já estamos de saco cheio com essa porras que vem de ti e de Carlos!!!  Calem a boca, Ofélias do cassete deixem o cara governar!!!",1.0,0.0,1.0,0.0,0.0,1.0,0.0
16841,"gabi: homem é lixo
homens gamers: eae razer kkk",1.0,0.0,0.0,1.0,0.0,0.0,0.0
24920,TNC o Bial,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1789,"Sou mãe e avó, compartilho esse seu sentimento,esta dor.""Há que se  cuidar do broto pra que a vida nos dê flor, e fruto...""Há que se dar um basta à monstruosidade humana...ou desumana...",1.0,1.0,1.0,0.0,0.0,0.0,0.0
28360,Se preocupe não seu arrombado você vai morre seu filho da puta,1.0,0.0,1.0,0.0,0.0,1.0,0.0
63795,"7:34 só eu vi o anel de veado?
",1.0,1.0,0.0,0.0,0.0,0.0,0.0
10624,Polêmico pra caralho kkkk,1.0,0.0,1.0,0.0,0.0,0.0,0.0
