,Unnamed: 0,user_id,user_name,user_location,user_description,user_friends_count,user_is_verified,user_followers_count,user_tweets_count,user_favorites_count,user_created_at,tweet_text,tweet_urls,tweet_mentions,tweet_hashtags,tweet_replies,tweet_favorites,toxico,homofobico,obsceno,racismo,insulto,misogino,xenofobia
137723,415639,1508333785.0,mariomedeiros29,,"Servidor publico, graduado em administração e Direito e descontente com a corrupção, mas confiante na Justiça...por enquanto.",892.0,False,255,8714,1477,2013,"@marcelorubens @ggreenwald deixa de palhaçada. quem quer essa praga do verdevaldo é gente se sua laia. a gente quer sim, mas mofando cadeia.",[],"['marcelorubens', 'ggreenwald']",[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49120,165547,1.1155605045698682e+18,hablo_eu,,"Acidez, Totalmente Incorreto, Crítico o que sei e o que não sei. EuHablo!",143.0,False,11,616,292,2019,@blogdonoblat ironicamente não haviam indícios de nenhuma palestra dada.,[],['BlogdoNoblat'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160783,483293,1.0584037697325261e+18,Adalva12,,,296.0,False,367,843,12172,2018,"@KennedyAlencar Aceita que dói menos, petralha. Por acaso o detento que defende aí é doutor? Bolsonaro é o nosso presidente escolhido pela maioria. E lembre se Lula tá preso babaca. Viva o Bolsonaro, viva o Moro!",[],['KennedyAlencar'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29423,101701,9.925862319880847e+17,JooIgor99910120,"Centro, Rio de Janeiro",Vasco Sempre !,111.0,False,23,3919,5200,2018,"@demori marreco, pavão, pica pau...",[],['demori'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201486,621291,1.1418157594732051e+18,lucianfellows,"Rio de Janeiro, Brazil",Straight to the point,162.0,False,76,3216,4620,2019,"@anapaulavolei que novela, jogo , bar coisa nenhuma ! a farofada do pornôboy  toda aqui  tá ficando quentíssima! kkkkkkk",[],['AnaPaulaVolei'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39245,132795,1.0882744079807448e+18,legermaNH,,"Conservadora, pró-armas, contra o vitimismo e amante do capitalismo. Costumo dizer que para um bom entendedor uma levantada de sobrancelha basta. DM:🚫",3233.0,False,6334,14306,30715,2019,@claudioedantas cabra expiatória c o discurso na ponta da língua diga-se de passagem.,[],['claudioedantas'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156326,469462,45090417.0,RenanTSilva,Brazil,"Apesar de míope, tentando manter o foco.",286.0,False,142,29174,6814,2009,@nilmoretto poxa. ouvirei a nova versão curioso pela primeira.,[],['nilmoretto'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118473,365275,35298553.0,sparellada,,"Família, amigos, leitura, boa conversa, música de qualidade e meu Brasil!👉🏽💚💛",738.0,False,645,23537,19875,2009,@anapaulavolei @roberto_areias a pessoa ao lado dela se contorce para não rir. muito engraçado,[],"['AnaPaulaVolei', 'roberto_areias']",[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111262,348294,234622361.0,pmvits,"São Paulo, Brasil","Temos um País a reunificar, sem nós x eles, preto x branco, sul x nordeste: a única divisão aceitável é entre quem não tolera bandido e os coniventes.",444.0,False,193,11562,13946,2011,@brumelianebrum e quem matou celso daniel???? e só pra lembrar - o lula ta preso babaca!!!!,[],['brumelianebrum'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61767,207194,49186003.0,marcosvelasque,,Só twitto à noite porquê trabalho de dia.,168.0,False,46,2213,1218,2009,@monicabergamo Engraçado.. o cara conseguia o telefone das maiores autoridades do país a hira que queria... Mad o do gringo safado teve que perguntar pra Manuela... Quem acredita nisso???? Só a turma que acha o cachaceiro inocente mesmo..,[],['monicabergamo'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160361,481908,60323219.0,jackiebernal,"Santos, Brasil🐳🌞⛱️",,1179.0,False,1208,11226,11645,2009,@miltonneves putz... ridícula essa palavra!!! pior ainda qdo é usada para mulheres...,[],['Miltonneves'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74921,245186,7.356648259095142e+17,ronilima40,São Paulo ,"A CORRUPÇÃO DOS POLÍTICOS  BRASILEIROS,MATA MAIS QUE TODAS AS GUERRAS DO MUNDO !",1244.0,False,154,3459,3627,2016,@anapaulavolei eu amo esse ser humaninho 😂😂😂😂😂😂😂😂,[],['AnaPaulaVolei'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134246,407197,47489116.0,Mary1142,BR país de poderes corruptos ,Tenho até 2033... Então viva🎉,340.0,False,109,3473,265,2009,"@pefabiodemelo @AnaPaulaVolei @ProfBunazar Ha padre senti muita dificuldades, mas o valor alto do frete foi o que me adaptou aos livros em pdf",[],"['pefabiodemelo', 'AnaPaulaVolei', 'ProfBunazar']",[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94110,300955,2633482018.0,barrospmb_paulo,,,122.0,False,60,7188,1352,2014,"@DaniloGentili Danilo tá com mesmo fornecedor do Lobão !!
Rapá vê se te cuida fiiii...
Daí pra virar da resistência anal é um pulo !!
Vê se poupa o Roger e não dê facada pelas costas!! https://t.co/Gxrhp9nXWl",[],['DaniloGentili'],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
